State,Cases
AK,15274
AL,192285
AR,112190
AZ,245946
CA,922005
CO,107350
CT,71207
DE,25126
FL,791997
GA,360790
HI,14995
IA,127966
ID,64608
IL,408660
IN,179358
KS,85181
KY,107219
LA,186649
MA,164417
MD,146145
ME,6668
MI,197406
MN,148472
MO,185535
MS,120500
MT,32801
NC,274635
ND,45043
NE,70732
NH,11084
NJ,237886
NM,46490
NV,100763
NY,244271
OH,215697
OK,129191
OR,44921
PA,208027
RI,32874
SC,176612
SD,45992
TN,260672
TX,900896
UT,114656
VA,182393
VT,2157
WA,107501
WI,237870
WV,24460
WY,13298
